dataset	analysis_context	signature	display_name	order_index	gene	definition_type
CPTAC-PDAC	Post-selection overlap sensitivity	myCAF_no_POSTN	POSTN-removed myCAF	4	COL1A1	Reconstructed from listed genes
CPTAC-PDAC	Post-selection overlap sensitivity	myCAF_no_POSTN	POSTN-removed myCAF	5	COL1A2	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	CAF_stroma	CAF/stroma	1	COL1A1	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	CAF_stroma	CAF/stroma	2	COL1A2	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	CAF_stroma	CAF/stroma	3	COL3A1	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	CAF_stroma	CAF/stroma	4	DCN	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	CAF_stroma	CAF/stroma	5	LUM	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	CAF_stroma	CAF/stroma	6	FAP	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	CAF_stroma	CAF/stroma	7	PDGFRB	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	endothelial	Endothelial	1	PECAM1	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	endothelial	Endothelial	2	VWF	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	endothelial	Endothelial	3	KDR	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	endothelial	Endothelial	4	EMCN	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	endothelial	Endothelial	5	RAMP2	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	endothelial	Endothelial	6	ESAM	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	myCAF	Conventional myCAF	1	ACTA2	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	myCAF	Conventional myCAF	2	TAGLN	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	myCAF	Conventional myCAF	3	MYL9	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	myCAF	Conventional myCAF	4	COL1A1	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	myCAF	Conventional myCAF	5	COL1A2	Reconstructed from listed genes
CPTAC-PDAC	Primary association outcomes	myCAF	Conventional myCAF	6	POSTN	Reconstructed from listed genes
GSE154778	Broad single-cell localization	B_Plasma	B/plasma	1	MS4A1	Reconstructed from listed genes
GSE154778	Broad single-cell localization	B_Plasma	B/plasma	2	CD79A	Reconstructed from listed genes
GSE154778	Broad single-cell localization	B_Plasma	B/plasma	3	CD79B	Reconstructed from listed genes
GSE154778	Broad single-cell localization	B_Plasma	B/plasma	4	MZB1	Reconstructed from listed genes
GSE154778	Broad single-cell localization	B_Plasma	B/plasma	5	JCHAIN	Reconstructed from listed genes
GSE154778	Broad single-cell localization	CAF	CAF	1	COL1A1	Reconstructed from listed genes
GSE154778	Broad single-cell localization	CAF	CAF	2	COL1A2	Reconstructed from listed genes
GSE154778	Broad single-cell localization	CAF	CAF	3	COL3A1	Reconstructed from listed genes
GSE154778	Broad single-cell localization	CAF	CAF	4	DCN	Reconstructed from listed genes
GSE154778	Broad single-cell localization	CAF	CAF	5	LUM	Reconstructed from listed genes
GSE154778	Broad single-cell localization	CAF	CAF	6	FAP	Reconstructed from listed genes
GSE154778	Broad single-cell localization	CAF	CAF	7	ACTA2	Reconstructed from listed genes
GSE154778	Broad single-cell localization	CAF	CAF	8	PDGFRB	Reconstructed from listed genes
GSE154778	Broad single-cell localization	CAF	CAF	9	TAGLN	Reconstructed from listed genes
GSE154778	Broad single-cell localization	CAF	CAF	10	MYL9	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Endothelial	Endothelial	1	PECAM1	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Endothelial	Endothelial	2	VWF	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Endothelial	Endothelial	3	KDR	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Endothelial	Endothelial	4	CDH5	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Endothelial	Endothelial	5	CLDN5	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Endothelial	Endothelial	6	RAMP2	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Epithelial	Epithelial	1	EPCAM	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Epithelial	Epithelial	2	KRT8	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Epithelial	Epithelial	3	KRT18	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Epithelial	Epithelial	4	KRT19	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Epithelial	Epithelial	5	MSLN	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Epithelial	Epithelial	6	CEACAM6	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Epithelial	Epithelial	7	MUC1	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Myeloid	Myeloid	1	LYZ	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Myeloid	Myeloid	2	LST1	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Myeloid	Myeloid	3	CD68	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Myeloid	Myeloid	4	C1QA	Reconstructed from listed genes
